********************************************************************************
*                             Initializing Cubiquity                           *
********************************************************************************
[02:22:48, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/6FAD2E83.vdb'
[02:22:53, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[02:23:17, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/4D5B15E5.vdb'
[02:23:33, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[02:26:23, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/7187F8B4.vdb'
[02:26:59, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[02:27:04, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/16694703.vdb'
[02:27:07, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[02:28:25, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/4709C3F9.vdb'
[02:28:27, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[02:28:43, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/12900AA5.vdb'
[02:28:45, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[02:28:49, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/4C31BAF9.vdb'
[02:28:53, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[02:29:11, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/311DF028.vdb'
[02:29:13, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[02:37:54, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/0A9E141B.vdb'
[02:38:12, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[02:38:19, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/2FC6BFBF.vdb'
[02:38:21, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[02:40:53, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/043F6386.vdb'
[02:41:08, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[02:41:46, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/1BFF5B5E.vdb'
[02:41:57, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[02:42:20, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/127C0FF6.vdb'
[02:42:25, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[02:42:46, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/2FF49BEF.vdb'
[02:42:57, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
********************************************************************************
*                             Shutting down Cubiquity                          *
********************************************************************************

